Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
GR1951,"Xinomavro Naoussea, Ktima Foundi 2016",Red Wine,13%,£14.95,Bottle,£89.50,Case of 6,/shop/ProductDetail.aspx?pd=GR1951
BJ8791,"Domaine Montangeron, Fleurie 2019",Red Wine,14%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=BJ8791
PW8611,"The Society's Portuguese Red, Península de Setúbal 2020",Red Wine,13.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=PW8611
CL242,"Half bottle of The Society's Claret 2019",Red Wine,13.5%,£4.50,Half Bottle,£108,Case of 24,/shop/ProductDetail.aspx?pd=CL242
SA16631,"Boekenhoutskloof 'The Chocolate Block', Swartland 2019",Red Wine,14.5%,£20,Bottle,£120,Case of 6,/shop/ProductDetail.aspx?pd=SA16631
CS11041,"The Society's Exhibition Pomerol 2015",Red Wine,14%,£20,Bottle,£240,Case of 12,/shop/ProductDetail.aspx?pd=CS11041
SA17001,"The Society's Cabernet Sauvignon-Cinsaut Cape Heritage Blend, Coastal 2018",Red Wine,14%,£8.25,Bottle,£99,Case of 12,/shop/ProductDetail.aspx?pd=SA17001
RH56922,"Half bottle of Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£5.50,Half Bottle,£66,Case of 12,/shop/ProductDetail.aspx?pd=RH56922
LE1111,"Hochar 2017",Red Wine,14%,£14.95,Bottle,£89.50,Case of 6,/shop/ProductDetail.aspx?pd=LE1111
CE11501,"Undurraga Candelabro Rapel Carmenère 2020",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CE11501
IT31071,"Chianti Classico, Castello La Leccia 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=IT31071
CE11621,"Lascar Classic Cabernet Sauvignon 2020",Red Wine,13%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=CE11621
SP15331,"Bóhorquez Reserva, Ribera del Duero 2010",Red Wine,14%,£23,Bottle,£138,Case of 6,/shop/ProductDetail.aspx?pd=SP15331
RH57611,"Côtes-du-Rhône Sablières, Domaine des Escaravailles 2018",Red Wine,14%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=RH57611
SA17141,"The Wolftrap, Western Cape 2020",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SA17141
IT30782,"Half bottle of Montepulciano d'Abruzzo Vigna Corvino 2019",Red Wine,13%,£4.95,Half Bottle,£59,Case of 12,/shop/ProductDetail.aspx?pd=IT30782
AA3161,"Stift Klosterneuberg St Laurent 2019",Red Wine,13%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AA3161
SA16721,"Withington Malbec, Darling 2019",Red Wine,14.5%,£9.75,Bottle,£58.50,Case of 6,/shop/ProductDetail.aspx?pd=SA16721
IT31361,"Valpolicella Valpantena, Torre del Falasco 2020",Red Wine,12.5%,£8.75,Bottle,£52.50,Case of 6,/shop/ProductDetail.aspx?pd=IT31361
TU201,"Öküzgözü Vinkara Winehouse 2018",Red Wine,13%,£9.95,Bottle,£119,Case of 12,/shop/ProductDetail.aspx?pd=TU201
RH56982,"The Society's Côtes-du-Rhône 2019",Red Wine,14%,£4.95,Half Bottle,£59,Case of 12,/shop/ProductDetail.aspx?pd=RH56982
BJ8081,"JM Aujoux, Morgon Les Charmes 2018",Red Wine,12.5%,£10.95,Bottle,£131,Case of 12,/shop/ProductDetail.aspx?pd=BJ8081
RH57161,"Grignan-les-Adhémar, Delas 2019",Red Wine,14.5%,£9.50,Bottle,£57,Case of 6,/shop/ProductDetail.aspx?pd=RH57161
NZ12471,"Zephyr Marlborough Pinot Noir 2020",Red Wine,13%,£13.50,Bottle,£81,Case of 6,/shop/ProductDetail.aspx?pd=NZ12471
AU23191,"Blind Spot Touriga Nacional 2020",Red Wine,13%,£10.95,Bottle,£131,Case of 12,/shop/ProductDetail.aspx?pd=AU23191
AL15891,"Pinot Noir Heimberger, Cave de Beblenheim 2019",Red Wine,13%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=AL15891
CM23191,"Château Peyrabon, Haut-Médoc 2009",Red Wine,14%,£22,Bottle,£264,Case of 12,/shop/ProductDetail.aspx?pd=CM23191
CB6181,"Château Thieuley Rouge, Bordeaux 2016",Red Wine,13%,£10.95,Bottle,£131,Case of 12,/shop/ProductDetail.aspx?pd=CB6181
LO16181,"Saumur Rouge ‘Les Plantagenêts' Cabernet Franc 2018",Red Wine,14%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=LO16181
IT28041,"Tarantino Primitivo Segnavento, Pervini 2018",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT28041
PW8031A,"Esporão Monte Velho Tinto, Alentejano 2019",Red Wine,13.5%,£8.50,Bottle,£51,Case of 6,/shop/ProductDetail.aspx?pd=PW8031A
RH49945,"5-Litre Box of Côtes-du-Rhône, Famille Jaume",Red Wine,14%,£45,Box,,,/shop/ProductDetail.aspx?pd=RH49945
BJ8772,"Half bottle of The Society’s Beaujolais-Villages 2020",Red Wine,13.5%,£4.95,Half Bottle,£118,Case of 24,/shop/ProductDetail.aspx?pd=BJ8772
FC40001,"Minervois La Livinière Cuvée Cantilène, Château Sainte Eulalie 2018",Red Wine,14.5%,£13.95,Bottle,£167,Case of 12,/shop/ProductDetail.aspx?pd=FC40001
LO15921,"St Nicolas de Bourgueil 'Les Cailloux', Famille Bougrier 2019",Red Wine,12.5%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=LO15921
LO16461,"Bourgueil 'Passion', Joël Taluau 2019",Red Wine,13.5%,£9.50,Bottle,£114,Case of 12,/shop/ProductDetail.aspx?pd=LO16461
SP16231,"Blau, Montsant 2019",Red Wine,14%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=SP16231
FC40271,"Fitou Origines, Domaine Bertrand-Bergé 2019",Red Wine,14.5%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=FC40271
SP16281,"Bodegas Murua Aclys Crianza, Rioja 2016",Red Wine,14.5%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=SP16281
IT31981,"Salice Salentino Riserva, Vallone 2018",Red Wine,13.5%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT31981
IT30491,"Biferno Rosso Riserva, Palladino 2017",Red Wine,13%,£8.95,Bottle,£53.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30491
AA3151,"Familie Mantler Zweigelt 2019",Red Wine,13.5%,£8.95,Bottle,£53.50,CASE6,/shop/ProductDetail.aspx?pd=AA3151
FC40571,"Corbieres, Château Ollieux Romanis 2019",Red Wine,14.5%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=FC40571
SP15941,"Lopez de Haro Classica Gran Reserva, Rioja 2001",Red Wine,14%,£28,Bottle,£168,Case of 6,/shop/ProductDetail.aspx?pd=SP15941
SA16981,"The Liberator 'God's Own Country', Upper Hemel-en-Aarde Valley 2017",Red Wine,13.5%,£13.95,Bottle,£83.50,Case of 6,/shop/ProductDetail.aspx?pd=SA16981
SP16401,"Parcelas Ecológico Monastrell, Yecla 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SP16401
NZ12441,"Grove Mill Marlborough Pinot Noir 2019",Red Wine,14%,£12.50,Bottle,£75,CASE6,/shop/ProductDetail.aspx?pd=NZ12441
IT31061,"Etna Rosso Fondo Filara, Nicosia 2018",Red Wine,13%,£12.50,Bottle,£75,Case of 6,/shop/ProductDetail.aspx?pd=IT31061
SA16851,"Douglas Green The Cattleman's Club Red Blend, Western Cape 2019",Red Wine,13.5%,£8.75,Bottle,£52.50,Case of 6,/shop/ProductDetail.aspx?pd=SA16851
BJ8811,"Château de Lacarelle, Beaujolais-Villages 2020",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=BJ8811
US9291,"Sobon Estate Rocky Top Amador Zinfandel 2018",Red Wine,14.5%,£16,Bottle,£192,Case of 12,/shop/ProductDetail.aspx?pd=US9291
PW8451,"Esporão Quinta dos Murças 'Minas', Douro 2017",Red Wine,13.5%,£12.95,Bottle,£77.50,Case of 6,/shop/ProductDetail.aspx?pd=PW8451
RH60311,"The Society's Côtes-du-Rhône 2020",Red Wine,14%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=RH60311
GR2051,"Kompsos Liatiko, Karavitakis 2020",Red Wine,13%,£9.95,Bottle,£59.50,Case of 6,/shop/ProductDetail.aspx?pd=GR2051
US8751,"Parker Station Santa Barbara Pinot Noir 2018",Red Wine,13.9%,£14.95,Bottle,£179,Case of 12,/shop/ProductDetail.aspx?pd=US8751
AR3931,"Susana Balbo Chacayes Single-Vineyard Mendoza Malbec 2017",Red Wine,14%,£12.50,Bottle,£150,Case of 12,/shop/ProductDetail.aspx?pd=AR3931
